Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
2016-02-17 18:17:18 +0000,42.360505,-71.094120,6.156002,25.000000,38.320312,1.170000,0.940000
2016-02-17 18:17:19 +0000,42.360515,-71.094114,6.275265,25.000000,44.296875,1.060000,0.940000
2016-02-17 18:17:20 +0000,42.360522,-71.094104,6.245754,25.000000,47.460938,1.060000,0.940000
2016-02-17 18:17:21 +0000,42.360527,-71.094090,6.136349,25.000000,56.601562,1.060000,0.940000
2016-02-17 18:17:22 +0000,42.360531,-71.094073,6.147366,25.000000,59.062500,1.110000,0.940000
2016-02-17 18:17:23 +0000,42.360531,-71.094055,6.217251,25.000000,62.578125,1.110000,0.940000
2016-02-17 18:17:24 +0000,42.360530,-71.094037,6.254330,25.000000,68.906250,1.210000,0.940000
2016-02-17 18:17:25 +0000,42.360526,-71.094020,6.145168,25.000000,76.640625,1.210000,0.940000
2016-02-17 18:17:26 +0000,42.360526,-71.094004,6.206600,25.000000,76.289062,1.210000,0.940000
2016-02-17 18:17:27 +0000,42.360525,-71.093985,6.052822,25.000000,74.882812,1.210000,0.940000
2016-02-17 18:17:28 +0000,42.360522,-71.093963,6.110195,25.000000,73.125000,1.380000,0.940000
2016-02-17 18:17:29 +0000,42.360520,-71.093945,6.292355,25.000000,69.960938,0.840000,0.940000
2016-02-17 18:17:30 +0000,42.360520,-71.093930,6.313564,25.000000,62.578125,0.960000,0.940000
2016-02-17 18:17:31 +0000,42.360524,-71.093918,6.275631,25.000000,50.625000,0.960000,0.940000
2016-02-17 18:17:32 +0000,42.360528,-71.093904,6.300472,25.000000,50.273438,1.090000,0.940000
2016-02-17 18:17:33 +0000,42.360533,-71.093889,6.358578,25.000000,52.382812,1.120000,0.940000
2016-02-17 18:17:34 +0000,42.360536,-71.093872,6.406765,25.000000,57.304688,1.170000,0.940000
2016-02-17 18:17:35 +0000,42.360542,-71.093859,6.439907,25.000000,57.656250,1.120000,0.940000
2016-02-17 18:17:36 +0000,42.360547,-71.093846,6.540157,25.000000,56.953125,1.130000,0.940000
2016-02-17 18:17:37 +0000,42.360551,-71.093832,6.405727,25.000000,57.304688,1.130000,0.940000
2016-02-17 18:17:38 +0000,42.360556,-71.093819,6.384029,25.000000,56.953125,1.120000,0.940000
2016-02-17 18:17:39 +0000,42.360560,-71.093807,6.455441,25.000000,53.789062,1.120000,0.940000
2016-02-17 18:17:40 +0000,42.360576,-71.093802,6.507320,25.000000,39.375000,1.120000,0.940000
2016-02-17 18:17:41 +0000,42.360594,-71.093800,6.467434,25.000000,26.367188,1.260000,0.940000
2016-02-17 18:17:42 +0000,42.360617,-71.093801,6.550503,25.000000,17.578125,1.350000,0.940000
2016-02-17 18:17:43 +0000,42.360642,-71.093804,6.640957,25.000000,16.171875,1.460000,0.940000
2016-02-17 18:17:44 +0000,42.360662,-71.093803,6.891750,25.000000,21.796875,1.460000,0.940000
2016-02-17 18:17:45 +0000,42.360677,-71.093799,6.831722,25.000000,34.453125,1.250000,0.940000
